source_id,genre,condition,target_persona,model,mode,prompt_variant,repeat_idx,d_H,delta_H,text_len,hop_index,d_total,d_step,dS,dR,nli_entailment,creativity_auto,creativity_auto_geom,value_auto,value_auto_geom,novelty_auto_combined,distinct2_rel,novel_ngram_rel,embedding_distance_rel,coherence_auto,perplexity,sentiment_shift,kendall_tau,levenshtein,novelty_judge,coherence_judge,fidelity_judge,value_judge,value_judge_geom,creativity_judge,creativity_judge_geom,fidelity_fused,source_file
academic_02,academic,T2,rational_adventurous,gen_openai_mini,joint,0,2,0.35355339059327373,"[0.0, 1.0]",265,,,,0.0,1.0,0.8520727157592773,0.29248758053769003,0.2918756867313496,0.800330903064185,0.7986565840325613,0.36545831157819614,0.5963749347345885,0.0,0.5,0.7485890903690925,46.36180114746094,0.060941487550735474,1.0,0.4003006012024048,,,,,,,,,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.225_R+0.960,gen_openai_mini,joint,0,0,0.5502235034066468,"[-1.2252551922627792, 0.9595399644839053]",279,,,,-1.2252551922627792,0.9595399644839053,0.07041236758232117,0.1673441594026569,0.09253603139870124,0.42214213547057844,0.23343125951965574,0.3964166221315761,0.6892498663947281,0.0,0.5,0.7738719033588357,43.24468231201172,0.2741730771958828,0.7981767567952605,0.4969512195121951,,,,,,,,,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.250_R+0.096,gen_openai_mini,joint,0,0,0.4433659734653794,"[-1.25036143245408, 0.09582995171975017]",281,,,,-1.25036143245408,0.09582995171975017,0.0728035718202591,0.16601442528719956,0.09299334697785733,0.42423778709052606,0.23763773339442157,0.39132399408771795,0.6739719822631539,0.0,0.5,0.775672002360793,43.0222053527832,0.4571928344666958,0.9220811446494876,0.4493865030674847,,,,,,,,,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.184_R+0.008,gen_openai_mini,joint,0,0,0.41863819168037913,"[-1.1840585487342894, 0.008296832925394255]",250,,,,-1.1840585487342894,0.008296832925394255,0.23541304469108582,0.19288978419856934,0.16403521653327177,0.4967799587234899,0.4224661686318683,0.3882801244523085,0.6648403733569255,0.0,0.5,0.758146872755894,45.18446731567383,0.4196088630706072,0.838501600193165,0.4830945558739255,1.0,1.0,0.8,0.7588532611727714,0.7195182571314942,0.7588532611727714,0.7195182571314942,0.5177065223455429,main_continuous_metrics
academic_02,academic,T3,continuous_S+0.691_R-0.283,gen_openai_mini,joint,0,0,0.14818520917317232,"[-0.30878680085758026, -0.283410587942151]",249,,,,-0.30878680085758026,-0.283410587942151,0.9274749159812927,0.3264442367395167,0.3258307401013034,0.8739217680870606,0.8722793801799013,0.3735394272808595,0.6206182818425785,0.0,0.5,0.8203686201928285,37.43489074707031,0.03878552466630936,1.0,0.36847946725860153,,,,,,,,,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.232_R+0.740,gen_openai_mini,joint,0,1,0.50806664264113,"[-1.2315807085592267, 0.7404476113958309]",260,,,,-1.2315807085592267,0.7404476113958309,0.8273316621780396,0.3034082155528101,0.3029583836285301,0.7846220204339844,0.7834587426610302,0.38669347488487665,0.6600804246546299,0.0,0.5,0.7419123786899292,47.18427276611328,0.4294038899242878,1.0,0.4095600217273221,,,,,,,,,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.237_R-0.261,gen_openai_mini,joint,0,1,0.4467733453366626,"[-1.2365035073218547, -0.26059634150780797]",269,,,,-1.2365035073218547,-0.26059634150780797,0.6439452171325684,0.2858077084845017,0.28374104374834813,0.7317893163471709,0.726497775463239,0.3905600998811393,0.6716802996434179,0.0,0.5,0.8196334155617735,37.52824020385742,0.308990066871047,0.9944132324730441,0.42954070981210857,0.6,0.9333333333333333,1.0,0.8776529709498088,0.8758849437351148,0.5265917825698853,0.5255309662410689,0.8219726085662842,main_continuous_metrics
academic_02,academic,T3,continuous_S+0.267_R+0.393,gen_openai_mini,joint,0,1,0.29406518158365874,"[-0.7330816996141432, 0.3929196735332563]",226,,,,-0.7330816996141432,0.3929196735332563,0.9131446480751038,0.3076073296579752,0.30593820903919183,0.8270991492195117,0.8226111929498238,0.3719110700914727,0.615733210274418,0.0,0.5,0.7410536503639195,47.29008102416992,0.11399285309016705,0.9999999999999999,0.35953079178885633,,,,,,,,,main_continuous_metrics
academic_02,academic,T3,continuous_S+0.451_R-0.464,gen_openai_mini,joint,0,1,0.2539621074924133,"[-0.5485100214257156, -0.4638003587013122]",233,,,,-0.5485100214257156,-0.4638003587013122,0.9586499333381653,0.31870634005948745,0.31753085623262595,0.8828909369732559,0.8796345724556849,0.36098041865973024,0.5829412559791906,0.0,0.5,0.8071319406083466,39.10640335083008,0.07905097864568233,1.0,0.296165191740413,0.4,1.0,1.0,0.9896624833345413,0.9896084916112445,0.39586499333381653,0.39584339664449786,0.9793249666690826,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.243_R+0.324,gen_openai_mini,joint,0,2,0.45430167631566154,"[-1.2433380836830494, 0.32439253149405795]",268,,,,-1.2433380836830494,0.32439253149405795,0.04653402790427208,0.16670991457620657,0.07660437373730407,0.41612941642752915,0.19121438230075327,0.40062035509868804,0.7018610652960641,0.0,0.5,0.7857248049507862,41.7773323059082,0.48720075376331806,0.7804840970025372,0.5188172043010753,,,,,,,,,main_continuous_metrics
